Intensity recordings for experiment starting at 2021-01-31 19:49:26.202243. readings every 0:00:00 seconds
timestamp,intensity,error
2021-01-31 19:49:26.202243,1.200000,10.350000
2021-01-31 19:49:26.202243,1.201612,10.350000
2021-01-31 19:49:26.202243,1.203227,10.350000
2021-01-31 19:49:26.202243,1.204844,10.350000
2021-01-31 19:49:26.202243,1.206462,10.350000
2021-01-31 19:49:26.202243,1.208084,10.350000
2021-01-31 19:49:26.202243,1.209707,10.350000
2021-01-31 19:49:26.202243,1.211332,10.350000
2021-01-31 19:49:26.202243,1.212960,10.350000
2021-01-31 19:49:26.202243,1.214590,10.350000
2021-01-31 19:49:26.202243,1.216222,10.350000
2021-01-31 19:49:26.202243,1.217856,10.350000
2021-01-31 19:49:26.202243,1.219492,10.350000
2021-01-31 19:49:26.202243,1.221131,10.350000
2021-01-31 19:49:26.202243,1.222771,10.350000
2021-01-31 19:49:26.203241,1.224414,10.350000
2021-01-31 19:49:26.203241,1.226060,10.350000
2021-01-31 19:49:26.203241,1.227707,10.350000
2021-01-31 19:49:26.203241,1.229357,10.350000
2021-01-31 19:49:26.203241,1.231008,10.350000
2021-01-31 19:49:26.203241,1.232662,10.350000
2021-01-31 19:49:26.203241,1.234319,10.350000
2021-01-31 19:49:26.203241,1.235977,10.350000
2021-01-31 19:49:26.203241,1.237638,10.350000
2021-01-31 19:49:26.203241,1.239301,10.350000
2021-01-31 19:49:26.203241,1.240966,10.350000
2021-01-31 19:49:26.203241,1.242633,10.350000
2021-01-31 19:49:26.203241,1.244303,10.350000
2021-01-31 19:49:26.203241,1.245975,10.350000
2021-01-31 19:49:26.203241,1.247649,10.350000
2021-01-31 19:49:26.203241,1.249325,10.350000
2021-01-31 19:49:26.203241,1.251004,10.800000
2021-01-31 19:49:26.203241,1.252685,10.800000
2021-01-31 19:49:26.203241,1.254368,10.800000
2021-01-31 19:49:26.203241,1.256054,10.800000
2021-01-31 19:49:26.203241,1.257741,10.800000
2021-01-31 19:49:26.203241,1.259431,10.800000
2021-01-31 19:49:26.203241,1.261123,10.800000
2021-01-31 19:49:26.203241,1.262818,10.800000
2021-01-31 19:49:26.203241,1.264515,10.800000
2021-01-31 19:49:26.203241,1.266214,10.800000
2021-01-31 19:49:26.203241,1.267915,10.800000
2021-01-31 19:49:26.203241,1.269619,10.800000
2021-01-31 19:49:26.203241,1.271325,10.800000
2021-01-31 19:49:26.203241,1.273033,10.800000
2021-01-31 19:49:26.203241,1.274743,10.800000
2021-01-31 19:49:26.203241,1.276456,10.800000
2021-01-31 19:49:26.203241,1.278171,10.800000
2021-01-31 19:49:26.203241,1.279889,10.800000
2021-01-31 19:49:26.203241,1.281608,10.800000
2021-01-31 19:49:26.203241,1.283330,10.800000
2021-01-31 19:49:26.204236,1.285055,10.800000
2021-01-31 19:49:26.204236,1.286781,10.800000
2021-01-31 19:49:26.204236,1.288510,10.800000
2021-01-31 19:49:26.204236,1.290242,10.800000
2021-01-31 19:49:26.204236,1.291975,10.800000
2021-01-31 19:49:26.204236,1.293711,10.800000
2021-01-31 19:49:26.204236,1.295450,10.800000
2021-01-31 19:49:26.204236,1.297190,10.800000
2021-01-31 19:49:26.204236,1.298933,10.800000
2021-01-31 19:49:26.204236,1.300678,10.800000
2021-01-31 19:49:26.204236,1.302426,10.800000
2021-01-31 19:49:26.204236,1.304176,10.800000
